played_at,map_name,result,rounds_for,rounds_against,kills,deaths,assists,kd,adr,kast,rating,headshot_percent,entry_kills,entry_deaths,flash_assists,utility_damage,enemies_flashed,clutches_won,clutches_lost,side_t_rounds_won,side_t_rounds_lost,side_ct_rounds_won,side_ct_rounds_lost
2026-05-01,Dust2,win,13,9,21,15,4,1.40,88.5,76.0,1.18,42.0,3,2,1,94,5,1,0,6,5,7,4
2026-05-02,Mirage,loss,10,13,17,19,5,0.89,71.2,69.0,0.94,38.0,1,4,0,35,2,0,1,4,7,6,6
2026-05-03,Inferno,win,13,8,24,14,6,1.71,96.0,81.0,1.31,45.0,4,1,2,120,7,1,0,7,4,6,4
2026-05-04,Ancient,loss,7,13,15,20,3,0.75,64.0,66.0,0.83,36.0,1,5,0,22,1,0,0,3,8,4,5
2026-05-05,Nuke,win,13,11,20,16,4,1.25,79.0,74.0,1.08,40.0,2,2,1,80,4,0,1,6,6,7,5
2026-05-06,Mirage,loss,9,13,16,18,4,0.89,68.0,67.0,0.90,35.0,1,3,0,28,2,0,0,4,7,5,6
2026-05-07,Dust2,win,13,6,23,12,5,1.92,101.0,84.0,1.39,48.0,5,1,2,130,8,1,0,7,3,6,3
2026-05-08,Ancient,loss,8,13,18,21,2,0.86,70.0,65.0,0.88,39.0,2,4,0,18,1,0,1,3,8,5,5
2026-05-09,Inferno,win,13,10,22,17,6,1.29,85.0,77.0,1.12,41.0,3,2,1,92,5,1,0,6,6,7,4
2026-05-10,Nuke,win,13,7,19,13,7,1.46,82.0,79.0,1.17,37.0,2,1,2,105,6,0,0,7,4,6,3
2026-05-11,Mirage,loss,11,13,18,20,4,0.90,73.0,68.0,0.95,39.0,1,4,0,40,2,0,1,5,7,6,6
2026-05-12,Vertigo,win,13,9,20,15,5,1.33,86.0,75.0,1.16,43.0,3,2,1,88,4,1,0,6,5,7,4
2026-05-13,Dust2,win,13,8,25,13,3,1.92,104.0,82.0,1.41,50.0,4,1,1,112,6,1,0,7,4,6,4
2026-05-14,Ancient,loss,6,13,14,21,4,0.67,61.0,63.0,0.78,34.0,1,5,0,25,1,0,1,2,9,4,4
2026-05-15,Inferno,win,13,9,21,16,5,1.31,84.0,76.0,1.13,44.0,3,2,1,98,5,1,0,6,5,7,4
2026-05-16,Nuke,loss,10,13,17,19,5,0.89,70.0,69.0,0.94,38.0,1,3,0,48,3,0,0,5,7,5,6
2026-05-17,Mirage,loss,8,13,15,22,3,0.68,62.0,61.0,0.75,35.0,1,5,0,20,1,0,1,3,8,5,5
2026-05-18,Dust2,win,13,10,20,16,6,1.25,82.0,75.0,1.12,42.0,3,2,1,90,5,1,0,6,6,7,4
2026-05-19,Ancient,loss,9,13,17,20,4,0.85,69.0,66.0,0.87,37.0,1,4,0,30,2,0,0,4,7,5,6
2026-05-20,Inferno,win,13,7,23,14,7,1.64,94.0,82.0,1.29,46.0,4,1,2,124,7,1,0,7,4,6,3
2026-05-21,Nuke,loss,11,13,18,19,5,0.95,74.0,70.0,0.98,39.0,2,3,0,52,3,0,1,5,7,6,6
2026-05-22,Mirage,loss,7,13,14,21,4,0.67,59.0,62.0,0.73,33.0,1,5,0,18,1,0,0,3,8,4,5
2026-05-23,Dust2,win,13,8,22,15,5,1.47,90.0,79.0,1.22,45.0,4,2,1,101,6,1,0,7,4,6,4
2026-05-24,Ancient,loss,8,13,16,22,2,0.73,63.0,61.0,0.76,36.0,1,5,0,20,1,0,1,3,8,5,5
2026-05-25,Inferno,win,13,9,20,16,6,1.25,83.0,76.0,1.11,40.0,3,2,1,95,5,1,0,6,5,7,4
2026-05-26,Nuke,loss,9,13,16,20,4,0.80,68.0,66.0,0.86,38.0,1,4,0,42,3,0,0,4,7,5,6
2026-05-27,Mirage,loss,6,13,13,22,3,0.59,56.0,59.0,0.69,32.0,0,5,0,16,1,0,1,2,9,4,4
2026-05-28,Dust2,win,13,9,21,15,5,1.40,87.0,77.0,1.17,44.0,3,2,1,96,5,1,0,6,5,7,4
2026-05-29,Ancient,loss,7,13,15,21,3,0.71,62.0,60.0,0.74,35.0,1,5,0,18,1,0,0,3,8,4,5
2026-05-30,Inferno,win,13,8,24,14,6,1.71,97.0,83.0,1.34,47.0,5,1,2,132,8,1,0,7,4,6,4
