ID,Layer,Category,Audit Item,Expected Good State,Observed State,Evidence Paths,Score 0-5,Percent,Criticality,Risk,Recommended Action,Priority,Effort,Owner/Suggested Agent,Notes
AR-001,Layer 1 Agentic Development Core,Source of truth,Root agent contract,Single mandatory root contract with supersession rules.,AGENTS.md exists and explicitly supersedes AGENT.md; Hot/Warm/Cold policy is defined.,AGENTS.md; AGENT.md; docs/CURRENT_STATUS.md,5,100%,LOW,Low risk of root-instruction ambiguity if agents follow Hot context.,Keep AGENTS.md protected and compact.,P2,S,PM_ORCHESTRATOR,
AR-002,Layer 1 Agentic Development Core,Source of truth,Source-of-truth hierarchy,"Clear precedence order for prompts, docs, reports and code.",Hierarchy is explicit in AGENTS.md and PROJECT_OPERATING_PROTOCOL.md.,AGENTS.md; docs/project_management/PROJECT_OPERATING_PROTOCOL.md,5,100%,LOW,Conflict resolution is manageable.,Maintain hierarchy in docs updates.,P2,S,PM_ORCHESTRATOR,
AR-003,Layer 1 Agentic Development Core,Context,Context loading protocol,Agents know what to read first and avoid full-docs loading.,"Hot/Warm/Cold protocol is repeated across AGENTS, HANDOFF, DOCS_INDEX, DOCS_MAP.",AGENTS.md; docs/HANDOFF.md; docs/project_management/DOCS_INDEX.md; docs/project_management/DOCS_MAP.md,5,100%,LOW,Good resistance to context bloat.,Keep old docs classified.,P2,S,DOCUMENTATION_STEWARD,
AR-004,Layer 1 Agentic Development Core,Roles,PM/Execution/Reviewer/QA roles,Role responsibilities and handoffs are documented.,"PM, Implementation, QA, Documentation Steward roles exist as workflow and role cards.",docs/project_management/AGENT_WORKFLOW.md; docs/agents/roles/*,4,80%,LOW,"Roles are process roles, not runtime agents.",Add examples of role handoff artifacts in future WPs.,P3,M,PM_ORCHESTRATOR,
AR-005,Layer 1 Agentic Development Core,Lifecycle,Task lifecycle,Task lifecycle from request to report/commit is explicit.,Lifecycle and WP closure checklist are documented.,docs/project_management/AGENT_WORKFLOW.md; docs/project_management/PROJECT_OPERATING_PROTOCOL.md,4,80%,MEDIUM,Process is documented but not machine-enforced end to end.,Add a scripted WP close checklist.,P2,M,PM_ORCHESTRATOR,
AR-006,Layer 1 Agentic Development Core,Task templates,Task card contract,Short prompts can reference a standard contract.,Task Card fields and invocation/output modes exist.,docs/project_management/AGENT_WORKFLOW.md,4,80%,LOW,Good prompt compression support.,Use in every future WP prompt.,P2,S,PM_ORCHESTRATOR,
AR-007,Layer 1 Agentic Development Core,Permissions,Permission matrix,Allowed/forbidden actions by mode are explicit.,Invocation modes define DB/data/import/parser/deploy permissions.,docs/project_management/AGENT_WORKFLOW.md; AGENTS.md,4,80%,MEDIUM,Not enforced by tooling; depends on agent compliance.,Add preflight prompt lint/checklist.,P2,M,PM_ORCHESTRATOR,
AR-008,Layer 1 Agentic Development Core,Safe modes,Safe modes,Planning/review/diagnostic/implementation modes guide risk.,Modes exist with stop conditions.,docs/project_management/AGENT_WORKFLOW.md,4,80%,LOW,Usable for agent routing.,Keep mode in every WP task card.,P2,S,PM_ORCHESTRATOR,
AR-009,Layer 1 Agentic Development Core,Tool registry,Tool registry / command gates,Project exposes safe checks and guardian suggestions.,"scripts/project_gate.py exists and is read-only, but not a complete tool registry.",scripts/project_gate.py; docs/TESTING.md,3,60%,MEDIUM,Quality gates can be skipped manually.,Expand project_gate into explicit task preflight/postflight command.,P1,M,TEST_GUARDIAN,
AR-010,Layer 1 Agentic Development Core,Definition of Done,Definition of Done,"Closure requires report, QA, docs, tests and forbidden-change checks.",WP closure checklist exists; reports required.,docs/project_management/AGENT_WORKFLOW.md; AGENTS.md,4,80%,MEDIUM,DoD is strong but manual.,Create checklist template in reports.,P2,S,PM_ORCHESTRATOR,
