played_at,map_name,result,rounds_for,rounds_against,kills,deaths,assists,kd,adr,kast,rating,headshot_percent,entry_kills,entry_deaths,flash_assists,utility_damage,enemies_flashed,clutches_won,clutches_lost
2026-06-01,Dust2,win,13,9,21,15,4,1.40,88.5,76.0,1.18,42.0,3,2,1,94,5,1,0
2026-06-02,Mirage,loss,10,13,17,19,5,0.89,71.2,69.0,0.94,38.0,1,4,0,35,2,0,1
2026-06-03,Inferno,win,13,8,24,14,6,1.71,96.0,81.0,1.31,45.0,4,1,2,120,7,1,0
2026-06-04,Ancient,loss,7,13,15,20,3,0.75,64.0,66.0,0.83,36.0,1,5,0,22,1,0,0
2026-06-05,Nuke,win,13,11,20,16,4,1.25,79.0,74.0,1.08,40.0,2,2,1,80,4,0,1
2026-06-06,Mirage,loss,9,13,16,18,4,0.89,68.0,67.0,0.90,35.0,1,3,0,28,2,0,0
2026-06-07,Dust2,win,13,6,23,12,5,1.92,101.0,84.0,1.39,48.0,5,1,2,130,8,1,0
2026-06-08,Ancient,loss,8,13,18,21,2,0.86,70.0,65.0,0.88,39.0,2,4,0,18,1,0,1
2026-06-09,Inferno,win,13,10,22,17,6,1.29,85.0,77.0,1.12,41.0,3,2,1,92,5,1,0
2026-06-10,Nuke,win,13,7,19,13,7,1.46,82.0,79.0,1.17,37.0,2,1,2,105,6,0,0
