repo,path,bucket,proposed_action,risk,reason
jc-coach,AGENTS.md,HOT,KEEP_HOT,LOW,Root operating contract and first source of truth after active task.
jc-coach,docs/CURRENT_STATUS.md,HOT,KEEP_HOT,LOW,Current product and organizational state.
jc-coach,docs/HANDOFF.md,HOT,KEEP_HOT,LOW,Compact new-session bootstrap for one-workspace operation.
jc-coach,docs/project_management/WP_REGISTRY.md,HOT,KEEP_HOT,LOW,Canonical WP order dependencies and promotion gate registry.
jc-coach,docs/ARCHITECTURE.md,WARM_PRODUCT,KEEP_WARM,LOW,Protected product architecture reference.
jc-coach,docs/API_CONTRACTS.md,WARM_PRODUCT,KEEP_WARM,LOW,Task-relevant API contract reference.
jc-coach,docs/METRICS.md,WARM_PRODUCT,KEEP_WARM,LOW,Protected metrics truth reference.
jc-coach,docs/CS2_DOMAIN_CONTRACT.md,WARM_PRODUCT,KEEP_WARM,LOW,Protected CS2 domain boundary reference.
jc-coach,docs/RECOMMENDATIONS.md,WARM_PRODUCT,KEEP_WARM,LOW,Protected recommendation behavior reference.
jc-coach,docs/AI_COACH.md,WARM_PRODUCT,KEEP_WARM,LOW,Protected AI coach behavior reference.
jc-coach,docs/AI_COACH_PROVIDER_ARCHITECTURE.md,WARM_PRODUCT,KEEP_WARM,LOW,AI provider architecture reference.
jc-coach,docs/STEAM_IMPORT.md,WARM_PRODUCT,KEEP_WARM,LOW,Protected Steam import reference.
jc-coach,docs/STEAM_IMPORT_ARCHITECTURE.md,WARM_PRODUCT,KEEP_WARM,LOW,Steam import architecture reference.
jc-coach,docs/BACKUP_RESTORE.md,WARM_PRODUCT,KEEP_WARM,LOW,Backup and restore reference for storage tasks.
jc-coach,docs/DEPLOYMENT.md,WARM_PRODUCT,KEEP_WARM,LOW,Deployment reference for explicitly authorized deploy tasks.
jc-coach,docs/MIGRATIONS.md,WARM_PRODUCT,KEEP_WARM,LOW,Migration discipline reference for schema tasks.
jc-coach,docs/SECURITY.md,WARM_PRODUCT,KEEP_WARM,LOW,Security reference for auth/public-readiness tasks.
jc-coach,docs/TESTING.md,WARM_PRODUCT,KEEP_WARM,LOW,Testing and quality reference.
jc-coach,docs/KNOWN_LIMITATIONS.md,WARM_PRODUCT,KEEP_WARM,LOW,Accepted product limitations and caveat reference.
jc-coach,docs/DEMO_STORAGE_TZ.md,WARM_PRODUCT,KEEP_WARM,MEDIUM,Task-relevant demo storage historical spec; review before archive.
jc-coach,docs/DEMO_DEEP_PARSER_TZ_RU.md,WARM_PRODUCT,KEEP_WARM,MEDIUM,Task-relevant parser historical spec; review before archive.
jc-coach,docs/STEAM_MATCH_DATES_RU.md,WARM_PRODUCT,KEEP_WARM,MEDIUM,Task-relevant match date history; review before archive.
jc-coach,docs/project_management/PROJECT_OPERATING_PROTOCOL.md,WARM_PROCESS,KEEP_WARM,LOW,Warm governance/process reference from Hot docs.
jc-coach,docs/project_management/AGENT_WORKFLOW.md,WARM_PROCESS,KEEP_WARM,LOW,Warm repo-native agent workflow reference from Hot docs.
jc-coach,docs/project_management/MASTER_WP_CHECKLIST.md,WARM_PROCESS,KEEP_WARM,LOW,Warm human WP checklist reference from Hot docs.
jc-coach,docs/project_management/ACCEPTANCE_MATRIX.md,WARM_PROCESS,KEEP_WARM,LOW,Warm acceptance planning reference.
jc-coach,docs/project_management/VERSION_ROADMAP.md,WARM_PROCESS,KEEP_WARM,LOW,Warm roadmap reference.
jc-coach,docs/project_management/WORK_PACKAGE_BACKLOG.md,WARM_PROCESS,KEEP_WARM,LOW,Warm backlog reference.
jc-coach,docs/project_management/DOCS_INDEX.md,WARM_PROCESS,KEEP_WARM,MEDIUM,Docs routing index; review during archive link updates.
jc-coach,docs/project_management/DOCS_MAP.md,WARM_PROCESS,KEEP_WARM,MEDIUM,Docs map; review during archive link updates.
jc-coach,docs/agents/roles/*,WARM_PROCESS,KEEP_WARM,LOW,Warm prompt role cards for task-relevant role invocation.
jc-coach,docs/agents/*.md,WARM_PROCESS,KEEP_WARM,MEDIUM,Older agent guard docs; keep warm until role-card consolidation is explicitly scoped.
jc-coach,docs/audit/WP_017K_REAL_DATA_ONBOARDING_PROMOTION_REPORT.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Latest promotion evidence; historical but important for v0.9 acceptance.
jc-coach,docs/audit/WP_017G_POST_BATCH_DATA_INTEGRITY_ACCEPTANCE_REPORT.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Accepted warning evidence carried into v0.9.
jc-coach,docs/audit/WP_017H_POST_BATCH_PERFORMANCE_ACCEPTANCE_REPORT.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Accepted warning evidence carried into v0.9.
jc-coach,docs/audit/WP_017I_MATCH_MODE_CLASSIFICATION_DIAGNOSIS_REPORT.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Playlist-mode deferral source evidence.
jc-coach,docs/audit/WP_017J_MATCH_MODE_EXPLICIT_DEFERRAL_REPORT.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Playlist-mode deferral acceptance evidence.
jc-coach,docs/audit/WP_017S_GOVERNANCE_ENTRYPOINT_REPAIR_REPORT.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Governance entrypoint repair evidence referenced by registry.
jc-coach,docs/audit/WP_017T_*.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Recent lean Hot-doc compaction evidence; keep until lean cleanup closes.
jc-coach,docs/audit/WP_017U_*.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Recent process docs evidence; keep until lean cleanup closes.
jc-coach,docs/audit/WP_017V_*.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Recent agent workflow evidence; keep until lean cleanup closes.
jc-coach,docs/audit/WP_017W_*.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Recent task-profile evidence; keep until lean cleanup closes.
jc-coach,docs/audit/WP_017X_*.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Prior legacy docs inventory evidence; keep until archive execution.
jc-coach,docs/audit/WP_017Y_*.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Pointer cleanup evidence; keep until archive execution.
jc-coach,docs/audit/WP_017Z*.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Recent role and control-plane evidence; keep until lean cleanup closes.
jc-coach,docs/audit/WP_018A_COACH_OUTPUT_QUALITY_DIAGNOSIS_REPORT.md,COLD_HISTORY,ARCHIVE_LATER,HIGH,Preserved WP-018 restart context; do not batch archive without product restart review.
jc-coach,docs/audit/WP_018_DOCUMENTATION_GOVERNANCE_AUDIT_REPORT.md,COLD_HISTORY,ARCHIVE_LATER,MEDIUM,Out-of-band governance audit evidence; not planned WP-018 product work.
jc-coach,docs/audit/WP_011*.md,COLD_HISTORY,ARCHIVE_LATER,LOW,Older accepted WP evidence; read only when task-relevant.
jc-coach,docs/audit/WP_012*.md,COLD_HISTORY,ARCHIVE_LATER,LOW,Older accepted WP evidence; read only when task-relevant.
jc-coach,docs/audit/WP_013*.md,COLD_HISTORY,ARCHIVE_LATER,LOW,Older accepted WP evidence; read only when task-relevant.
jc-coach,docs/audit/WP_014*.md,COLD_HISTORY,ARCHIVE_LATER,LOW,Older import/storage WP evidence; avoid Batch 1 due import safety history.
jc-coach,docs/audit/WP_015*.md,COLD_HISTORY,ARCHIVE_LATER,LOW,Older metrics WP evidence; avoid Batch 1 due metric truth history.
jc-coach,docs/audit/WP_016*.md,COLD_HISTORY,ARCHIVE_LATER,LOW,Older recommendation WP evidence; avoid Batch 1 due recommendation acceptance history.
jc-coach,docs/audit/WP_017A*.md,COLD_HISTORY,ARCHIVE_LATER,LOW,Older v0.9 onboarding evidence; preserve until archive link review.
jc-coach,docs/audit/WP_017B*.md,COLD_HISTORY,ARCHIVE_LATER,LOW,Older v0.9 onboarding evidence; preserve until archive link review.
jc-coach,docs/audit/WP_017C*.md,COLD_HISTORY,ARCHIVE_LATER,LOW,Older v0.9 onboarding evidence; preserve until archive link review.
jc-coach,docs/audit/WP_017D*.md,COLD_HISTORY,ARCHIVE_LATER,LOW,Older v0.9 onboarding evidence; preserve until archive link review.
jc-coach,docs/audit/WP_017E*.md,COLD_HISTORY,ARCHIVE_LATER,LOW,Older v0.9 onboarding evidence; preserve until archive link review.
jc-coach,docs/audit/WP_017F*.md,COLD_HISTORY,ARCHIVE_LATER,LOW,Older v0.9 onboarding evidence; preserve until archive link review.
